name,repo,ref,description
psyduck,Ian-Fogelman/psyduck,c4f8faa4d25e4ca8b3cb0bac8cb958b030f1b2b5,"Pokemon data native in DuckDB"
python_udf,alitrack/duckdb-python,refs/tags/v0.2.1,"Embedded CPython UDFs for DuckDB — py_eval, py_agg, py_scan, py_register, py_call, py_map"
quack_oauth,DataZooDE/quack-oauth,0f30ca99ad34436e766c7aa550ef168e6eb4de8b,"Extensions providing OAuth and OpenID primitives for authentication and authorization for the DuckDB quack server."
quackapi,asubbarao/quackapi,398d42cd41d3fb494420063d60b5aa367343d271,"FastAPI-class HTTP framework inside DuckDB — CREATE ROUTE turns SQL into typed, validated endpoints; one process is DB + HTTP (+ PDF/renderer via companion extensions)."
quackformers,martin-conur/quackformers,4741f1a317837cd110e5801825ad7af1bbc3bd87,"Bert-based embedding extension."
quackiso,tempoloss/quackiso,9970d1cea70d5379cf7d0692eade1ea65dccb824,"Query ISO 20022 (camt, pacs, pain) financial messages as SQL"
quackscale,Query-farm/quackscale,06af182878fb4098806fe4e81a35310899dd0f94,"DuckDB WireGuard Extension to Quack & Ducklake over Tailscale/Headscale"
quackstore,coginiti-dev/QuackStore,f1b582e67f96301177f4b493afcc229dfb5981ce,"QuackStore - Smart Block-Based Caching for Remote Files. Speed up repeated queries on remote data with intelligent block-level caching."
query_condition_cache,dentiny/duckdb-query-condition-cache,6913ffd244ddfaa64dfe697180ab63b77a774a97,"This extension provides a cache for query conditions, which is useful for repeated-query workloads like metrics monitoring dashboards, log investigations, etc."
query_limiter,dentiny/duckdb-query-limiter,aab6fe9d71d8914ea31c9f4d459cc24a746aa51b,"Reject queries before physical execution when estimated table scans exceed a configured row budget"
quickjs,quackscience/duckdb-quickjs,45272e851b8c154931b0642379edf208795fafc0,"DuckDB QuickJS Runtime Extension"
qvd,snouhaud/DuckDB-QVD-Extension,f9870d64292f5a065e67b636ff714e966ea46536,"Read (streaming) and write Qlik QVD files"
radio,query-farm/radio,ca2f4c3109e4f3afa115923862601a8b4cc3c619,"Allow interaction with event buses like Websocket and Redis publish/subscribe servers."
rapidfuzz,query-farm/rapidfuzz,8977f62400513f7c59887c0bef751e0f488f76e4,"Provides adds high-performance fuzzy string matching functions, powered by the RapidFuzz C++ library."
raquet,jatorre/duckdb-raquet,b6e348baa9f522a21adc647671ca79d65e7ff6a5,"Raster analytics on Raquet files with QUADBIN spatial indexing, raster ingestion, and PostGIS-style functions"
raster,ahuarte47/duckdb-raster,8a77d293b1b59913bb993a561daa8d4d3ea72889,"DuckDB extension for reading and writing geospatial raster data using SQL."
rate_limit_fs,dentiny/duckdb-rate-limit-filesystem,25f05ab2a8bfe5ecb9af1cc1e44353cfd0d9d07b,"Perform rate and burst limit on filesystem operations"
rdf,nonodename/duck_rdf,6e595d2527f3d7ec8e19ac49871ba4b47ff2cfb3,"Read and write RDF, query using SPARQL"
read_dbf,tocharan/duckdb-dbf,5751c39c435f38e1d25a514c8ffb9861759a3c91,"Read DBF (dBase) files with support for general DBF formats and field types."
read_lines,teaguesterling/duckdb_read_lines,refs/tags/v0.2.1,"Read line-based text files with line numbers and efficient subset extraction. Supports glob patterns, line selection, and context lines around matches."
redis,quackscience/duckdb-extension-redis,72ac89b6a1f3ff0db79df58f3aae6a9040c84014,"Redis compatible Client for DuckDB"
rocket,maxdemarzi/duckdb-rocket,c33d6b1a109e0ba9abf1722ad3fa424b79d31d86,"ROCKET random convolutional kernel features for time-series classification"
rusty_quack,duckdb/extension-template-rs,abb7b2f3f954a47f90fc37a99cda3ce0618e6094,"Provides a hello world example demo from the Rust-based extension template"
rusty_sheet,redraiment/rusty-sheet,v0.4.2,"An Excel/WPS/OpenDocument Spreadsheets file reader for DuckDB"
scalarfs,teaguesterling/duckdb_scalarfs,03a7d8e23178a2c9fcb3a16292dd60a23e059a8d,"A collection of virtual filesystems for working with scalars"
se3,jokasimr/se3,v0.3.2,"Provides SE(3) rigid transformations (combinations of rotations and translations in 3D) as DuckDB scalar functions."
semantic_views,anentropic/duckdb-semantic-views,c2e81e3157fba7420d9b548bb7f91aa19905865e,"Semantic views -- a declarative layer for dimensions, metrics, and relationships"
shellfs,query-farm/shellfs,8c4e90c7b47f18d5a1f932aa3f9f7a431b5b5e32,"Allow shell commands to be used for input and output"
sitemap,midwork-finds-jobs/duckdb-sitemap,15e96dfd6e5dfb6d70a9b7cc5a2675b3969e16b3,"Parse XML sitemaps from websites with automatic discovery via robots.txt"
sitting_duck,teaguesterling/sitting_duck,6bff057cbf1e9b475029068e41e9a4ebfcb92797,"Parse and analyze source code ASTs from 27 programming languages with tree-sitter grammars, pattern matching, and structural search"
snowflake,iqea-ai/duckdb-snowflake,b61f5ad827373db9a5614e5183c1477f601cc82c,"Snowflake data source extension - query Snowflake databases directly from DuckDB"
splink_udfs,moj-analytical-services/splink_udfs,cf00056f887486d0aee0a853a764f9775aa40438,"Phonetic, text normalization and address matching functions for record linkage."
splunk,smithclay/duckdb-splunk,1c69eeecba53c63b0e1f5eb07c7933757daf1355,"Read logs from a Splunk search REST API into OTLP-shaped tables"
spxlsx,paulmupeters/spxlsx,v0.1.4,"Query SharePoint lists and Excel workbooks directly from DuckDB"
sshfs,midwork-finds-jobs/duckdb-sshfs,8c4216e8f33d7f7c3d7c3a8f171856eb7a5ac8e6,"Allows reading and writing files over SSH"
st_read_multi,yutannihilation/duckdb-ext-st-read-multi,27060866a7f71433d70d7598033ccefab9fc510c,"Read multiple geospatial files"
stac,ahuarte47/duckdb-stac,7c4a6f3874acab913c08db43c0cf8c651118f29c,"DuckDB extension for reading data from SpatioTemporal Asset Catalogs (STAC) using SQL."
stats_duck,KoliStat/the-stats-duck,efdd24dec2a6616f825e9f14c2919a5754554827,"A statistical computing toolkit for DuckDB — descriptive statistics, hypothesis tests, R-style distribution functions (d/p/q/r), OLS regression with HC and cluster-robust standard errors, grammar-of-graphics charts (VISUALIZE → Vega-Lite), and first-class readers/writers for SAS, SPSS, and Stata files, all directly in SQL."
stochastic,query-farm/stochastic,81e91e342a0335e602581c2eb5d5e547354a6cd2,"Add comprehensive statistical distribution functions to DuckDB, enabling advanced statistical analysis, probability calculations, and random sampling directly within SQL queries."
substrait,substrait-io/duckdb-substrait-extension,e61b3bdf6fa92120b52b583914b742b9f3c50130,"Allows conversion execution of Substrait query plans"
superhuman_docs,its-felix/duckdb-superhuman-docs,1d85c9eaecc407655a6d49720a56f46346258069,"Attach Superhuman Docs documents as DuckDB databases and query or modify their tables with SQL"
system_stats,dentiny/system_stats,925b3851a639d2b03e5867d58c8e125de8371320,"Provides table functions to access system-level statistics for monitoring purpose"
table_guard,yoogoc/duckdb-table-guard,0ba95aa9e8b793c1470cc005d63b47bb3006c8de,"Enforces table-level access control via an allowlist mechanism, blocking queries to unauthorized tables with a PermissionException"
table_inspector,dentiny/duckdb-table-inspector,7c59120e26f4a6c574558d8ce68428210d08ff15,"Observability into DuckDB storage internals at the database, table, and column levels"
talib,neuesql/atm_talib,53c4312814729d037f865126025cc4235aa4afea,"Technical Analysis Library (TA-Lib) functions for DuckDB -- 100+ indicators for financial market analysis"
tera,query-farm/tera,f8d0b353c1791286fd0c5282fb400750c30e3369,"Adds templating to DuckDB, enabling dynamic generation of text, HTML, and reports directly within SQL queries using the Tera engine."
textplot,query-farm/textplot,5171541c03cd294b44859209175821157dedc7e7,"Enables text-based data visualization directly in SQL queries, including ASCII/Unicode bar charts, density plots, and sparklines for lightweight analytics and dashboards."
title_mapper,martin-conur/duckdb-title-mapper,12bd9b37a7e2146fa249f3769c717ed40975ed89,"Efficiently standardizes scraped job titles to Bureau of Labor Statistics (BLS) titles using a high-performance TF-IDF algorithm."
toml,vergenzt/duckdb-toml,263bc5adc93675237bab5cd2de3991886c7aa45c,"Parse TOML documents into JSON"
trino_parity,brikk/duckdb-trino-parity-extension,8527a7fc00e2a3baf117cbf641b973d7cd9d931e,"Native Trino-compatible scalar functions (trino_*) for the cases where DuckDB's built-ins diverge from Trino on Unicode and byte-level inputs — ICU full case folding, code-point reverse, Java-whitespace trim, NFC normalize, and raw-bytes xxhash64/sha512/hmac_sha256"
tsfile,ColinLeeo/tsfile-duckdb,34e6865cbb251cf318cc443d8bb3a26c018e60a9,"Query Apache TsFile table-model files directly from DuckDB"
tsid,quackscience/duckdb-extension-tsid,21457c7206e020f3d5f0deb3059d9ee255e312b1,"DuckDB Time-Sortable ID generator"
urlpattern,teaguesterling/duckdb_urlpattern,refs/tags/v0.4.1,"WHATWG URLPattern API for matching and extracting components from URLs using pattern syntax"
us_address_standardizer,ericmanning/duckdb-address-standardizer,3421cf7326ce60e16feb932a801a62a483909c4b,"US address parsing and standardization (PAGC + Rust addrust)"
valhalla_routing,midwork-finds-jobs/duckdb-valhalla-routing,e73ec94493444fa0ae452474e4329dda13b4d138,"DuckDB extension for routing and travel time calculations using Valhalla routing engine"
web_archive,midwork-finds-jobs/duckdb-web-archive,fa55e897d42ad8859f9d707d793b58807a8c8e84,"Query Common Crawl and Wayback Machine web archive CDX APIs directly from SQL"
web_search,midwork-finds-jobs/duckdb-web-search,a4e07aa99050e8453b296f2572fc09e5c59f34ec,"Query Google Custom Search API directly from SQL with filter pushdowns"
webbed,teaguesterling/duckdb_webbed,refs/tags/v2.6.1,"Comprehensive processing extension for web markup languages (XML and HTML) with SAX streaming for large files, intelligent schema inference, XPath-based data extraction, and HTML table parsing."
webmacro,quackscience/duckdb-extension-webmacro,76e83c478fad9c30e5703a194911ae96bfc2ed94,"Load DuckDB Macros from the web"
whisper,tobilg/duckdb-whisper,25d0cdfae43da4f66ea6a918b6a65addad0613a2,"Speech-to-text transcription using whisper.cpp, OpenAI's Whisper model"
yaml,teaguesterling/duckdb_yaml,4523b13794d366d727d598dd137f957c0e96caa4,"Read YAML files into DuckDB with native YAML type support, comprehensive extraction functions, and seamless JSON interoperability"
zarr,xqlsystems/duckdb-zarr,v0.1.3,"Query Zarr array stores (v2 and v3) with SQL — read xarray-convention datasets as tables"
zeek,ynadji/zeek-duckdb,ad3580e3ba6130d0da395ad283cfca4e9cbb2024,"Read Zeek network security monitor log files with automatic schema detection and type-aware parsing"
zim,teaguesterling/duckdb_zim,3101ee81a99197ef344d70e8a8b4ec3beec75182,"Read .zim (Kiwix / openZIM) archives directly in DuckDB via libzim, from local files or remote S3/HTTP — offline Wikipedia, WikiMed, Stack Exchange, iFixit, and more, with a zim:// filesystem and full-text search."
zipfs,isaacbrodsky/duckdb-zipfs,2da467a0e6a71d84fe0e8c628540987c60d1d40a,"Read files within zip archives"
